구별,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,데이터기준일자
수정구,정지섭마취통증의학과의원,의원,"경기도 성남시 수정구 산성대로 481, 4층 (양지동)",031-743-1339,2026-03-04
수정구,성원비뇨기과의원,의원,"경기도 성남시 수정구 논골로 1, 2층 (단대동)",031-732-1811,2026-03-04
수정구,최영주소아청소년과의원,의원,"경기도 성남시 수정구 수정로 81, 2층 202호 (태평동, 동인트루빌)",031-731-4409,2026-03-04
수정구,양관모의원,의원,"경기도 성남시 수정구 복정로 127-1, 2층 (복정동)",031-754-5339,2026-03-04
수정구,메디플러스의원,의원,"경기도 성남시 수정구 제일로 174, 2층 (태평동)",031-754-1131,2026-03-04
수정구,박해일정형외과의원,의원,"경기도 성남시 수정구 수정로 322, 2층 (산성동)",031-736-2217~9,2026-03-04
수정구,성가의원,의원,"경기도 성남시 수정구 탄리로120번길 4, 2층 (태평동)",031-756-1862,2026-03-04
수정구,굿모닝치과의원,치과의원,"경기도 성남시 수정구 수정로 81, 201호 (태평동, 동인트루빌)",031-734-2225,2026-03-04
수정구,한솔의원,의원,"경기도 성남시 수정구 수정로 346, 백강빌딩 3층 (산성동)",031-744-0574,2026-03-04
수정구,태평연세치과의원,치과의원,"경기도 성남시 수정구 성남대로 1222, 예농빌딩 2층 일부층 (수진동)",031-751-6812,2026-03-04
수정구,고려중앙의원,의원,"경기도 성남시 수정구 논골로 7, 2층 (단대동)",031-742-8282,2026-03-04
수정구,청치과의원,치과의원,"경기도 성남시 수정구 산성대로 237, 2층 (신흥동)",031-755-2875,2026-03-04
수정구,수정내과의원,의원,"경기도 성남시 수정구 수정로 181 (태평동, 성남빌딩)",031-756-4034,2026-03-04
수정구,한솔치과의원,치과의원,"경기도 성남시 수정구 탄리로 120, 4층 (태평동, 오거리빌딩)",031-757-7737,2026-03-04
수정구,신흥한의원,한의원,경기도 성남시 수정구 수정로 286 (신흥동),031-745-6435,2026-03-04
수정구,중앙치과의원,치과의원,"경기도 성남시 수정구 제일로 165-1, 2층 (태평동)",031-753-7216,2026-03-04
수정구,세브란스치과의원,치과의원,"경기도 성남시 수정구 청계산로 689, 3층 305호 (고등동)",031-748-7054,2026-03-04
수정구,그린치과의원,치과의원,"경기도 성남시 수정구 수정로 190, 3층 (신흥동)",031-755-8237,2026-03-04
수정구,박상균내과의원,의원,"경기도 성남시 수정구 수정로 137, 2층 (태평동)",031-721-1617,2026-03-04
수정구,e-플랜트치과의원,치과의원,경기도 성남시 수정구 수정로 208 (신흥동),031-744-2804,2026-03-04
수정구,김희철조인스의원,의원,"경기도 성남시 수정구 시민로 138, 3층 (신흥동)",031-749-2393,2026-03-04
수정구,현부부치과의원,치과의원,"경기도 성남시 수정구 산성대로 311, 2층 일부 (신흥동)",031-741-2275,2026-03-04
수정구,안주영소아청소년과의원,의원,"경기도 성남시 수정구 위례광장로 310, B동 402호 (창곡동, 우성트램타워)",031-757-3988,2026-03-04
수정구,오필선치과의원,치과의원,"경기도 성남시 수정구 수정로 356, 3층 (산성동)",031-745-2828,2026-03-04
수정구,수정치과의원,치과의원,"경기도 성남시 수정구 수정로 144, 3층 (수진동)",031-752-3891,2026-03-04
수정구,페리오플란트치과의원,치과의원,경기도 성남시 수정구 산성대로 269 (신흥동),031-734-5389,2026-03-04
수정구,추한의원,한의원,경기도 성남시 수정구 수정로 205 (태평동),031-758-6767,2026-03-04
수정구,김안과의원,의원,"경기도 성남시 수정구 수정로 182, 2층 (신흥동)",031-721-8932,2026-03-04
수정구,박성원치과의원,치과의원,"경기도 성남시 수정구 수정로 179-1, 2층 (태평동)",031-722-1293,2026-03-04
수정구,백정형외과의원,의원,"경기도 성남시 수정구 수정로 210, 4층 (신흥동)",031-748-5116,2026-03-04
수정구,남형근소아청소년과의원,의원,"경기도 성남시 수정구 공원로 322, 184,185호 (신흥동, 신동아파라디움)",031-734-5582,2026-03-04
수정구,유정일치과의원,치과의원,"경기도 성남시 수정구 수정로 167, 2층 (태평동)",031-755-9873,2026-03-04
수정구,365프렌즈내과의원,의원,"경기도 성남시 수정구 위례동로 147, 5층 505호 (창곡동, 위례건아타워)",031-731-6614,2026-03-04
수정구,대정한의원,한의원,"경기도 성남시 수정구 시민로 137-1, 3층 (신흥동)",031-733-4457,2026-03-04
수정구,한상준치과의원,치과의원,"경기도 성남시 수정구 수정로 97, 2층 (태평동)",031-758-9705,2026-03-04
수정구,한라의원,의원,"경기도 성남시 수정구 시민로 236, 1,2층 (태평동)",031-758-5672,2026-03-04
수정구,계정이비인후과의원,의원,경기도 성남시 수정구 수정로 121 (태평동),031-758-7163,2026-03-04
수정구,한독의원,의원,"경기도 성남시 수정구 남문로 61, 2층 (태평동)",031-758-0964,2026-03-04
수정구,베스트치과의원,치과의원,"경기도 성남시 수정구 산성대로 267, 5층 520~524호 (신흥동)",031-734-0474,2026-03-04
수정구,구석모내과의원,의원,경기도 성남시 수정구 수정로 115-1 (태평동),031-754-8468,2026-03-04
수정구,윤앤정내과의원,의원,"경기도 성남시 수정구 산성대로 305, 206-213호 (신흥동, 삼부르네상스파크Ⅱ)",031-744-0238,2026-03-04
수정구,한양의원,의원,"경기도 성남시 수정구 성남대로 1254-1, 2층 (태평동)",031-753-4846,2026-03-04
수정구,김이비인후과의원,의원,"경기도 성남시 수정구 공원로 322, 2층 (신흥동, 신동아파라디움)",031-746-5882,2026-03-04
수정구,수정구보건소,보건소,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",031-729-3872,2026-03-04
수정구,에이스치과의원,치과의원,"경기도 성남시 수정구 수정로 142, 2층 (수진동)",031-758-2875,2026-03-04
수정구,이상일이비인후과의원,의원,"경기도 성남시 수정구 수정로 188, 2층 (신흥동)",031-757-5611,2026-03-04
수정구,일신여성의원,의원,"경기도 성남시 수정구 산성대로249번길 3, 2층 (신흥동)",031-735-3132,2026-03-04
수정구,현성욱치과의원,치과의원,"경기도 성남시 수정구 성남대로 1330, 일성오퍼스원 2층 201,202,203호 (태평동)",031-754-7528,2026-03-04
수정구,서헌치과의원,치과의원,"경기도 성남시 수정구 수정로 188, 2층 일부호 (신흥동)",031-757-2310,2026-03-04
수정구,박애치과의원,치과의원,"경기도 성남시 수정구 산성대로215번길 3, 관서형빌딩 7층 (신흥동)",031-749-6393,2026-03-04
수정구,이두성비뇨기과의원,의원,"경기도 성남시 수정구 산성대로 331, 201호 (신흥동, 한신오피스텔)",031-730-2010,2026-03-04
수정구,동산치과의원,치과의원,"경기도 성남시 수정구 수정로 194, 2층 (신흥동)",031-756-7488,2026-03-04
수정구,메디원변재광의원,의원,"경기도 성남시 수정구 산성대로 213, 웅지빌딩 3층~6층 (신흥동)",031-748-8500,2026-03-04
수정구,태평산부인과의원,의원,"경기도 성남시 수정구 수정로 133, 1층 (태평동)",031-753-9870,2026-03-04
수정구,이빛나치과의원,치과의원,"경기도 성남시 수정구 산성대로 331, 2층 (신흥동, 한신프라자)",031-730-2014,2026-03-04
수정구,김정혜산부인과의원,의원,"경기도 성남시 수정구 산성대로 289, 3층 (신흥동)",031-744-7147,2026-03-04
수정구,조피부과의원,의원,"경기도 성남시 수정구 수정로 167, 3층 (태평동)",031-756-3830,2026-03-04
수정구,경희한의원,한의원,경기도 성남시 수정구 수정로 120 (수진동),031-752-4529,2026-03-04
수정구,임안과의원,의원,"경기도 성남시 수정구 수정로 167, 3층 (태평동)",031-756-5300,2026-03-04
수정구,정다운산부인과의원,의원,경기도 성남시 수정구 산성대로295번길 3 (신흥동),031-747-9944,2026-03-04
수정구,현대치과의원,치과의원,"경기도 성남시 수정구 산성대로 239, 2층 (신흥동)",031-757-3418,2026-03-04
수정구,성심치과의원,치과의원,"경기도 성남시 수정구 산성대로 263, 2층~4층 (신흥동)",031-747-4340,2026-03-04
수정구,상쾌한이비인후과의원,의원,"경기도 성남시 수정구 수정로 273, 2층 (신흥동)",031-734-7818,2026-03-04
수정구,상아치과의원,치과의원,경기도 성남시 수정구 산성대로 285 (신흥동),031-747-7202,2026-03-04
수정구,여래한의원,한의원,경기도 성남시 수정구 수정로170번길 9 (신흥동),031-757-2667,2026-03-04
수정구,경희위례한방병원,한방병원,"경기도 성남시 수정구 위례광장로 300, 위례중앙타워 4층 410~416호, 421호, 422-1호 (창곡동)",031-759-7755,2026-03-04
수정구,서울위례바이오요양병원,요양병원(일반요양병원),"경기도 성남시 수정구 헌릉로 999, 센트럴메디타운 2층,3층,4층 일부 (창곡동)",031-758-8575,2026-03-04
수정구,위례스마트요양병원,요양병원(일반요양병원),"경기도 성남시 수정구 헌릉로 993, 더퍼스트메디타워 4층,5층,6층,7층 일부,8층 (창곡동)",031-8039-7676,2026-03-04
수정구,연세스타병원,병원,"경기도 성남시 수정구 산성대로 267, 5층 일부, 6층 (신흥동)",1670-7088,2026-03-04
수정구,위례재활의학과병원,병원,"경기도 성남시 수정구 위례서일로 6, 6층~9층 (창곡동)",031-751-0660,2026-03-04
수정구,성신한방병원,한방병원,"경기도 성남시 수정구 성남대로 1170, 의남빌딩 1층일부, 7~8층 (수진동)",031-722-1175,2026-03-04
수정구,성남시의료원,종합병원,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",031-738-7000,2026-03-04
수정구,위례센트럴요양병원,요양병원(일반요양병원),"경기도 성남시 수정구 헌릉로 999, 5~10층 (창곡동)",031-758-7000,2026-03-04
수정구,위례서울닥터스요양병원,요양병원(일반요양병원),"경기도 성남시 수정구 위례광장로 9-9, 3층 일부, 4층 (창곡동)",031-759-5005,2026-03-04
수정구,성모윌병원,병원,"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)",031-751-2075,2026-03-04
수정구,위례서울치과병원,치과병원,"경기도 성남시 수정구 위례광장로 310, B동 8층 801~804호 (창곡동, 우성트램타워)",0507-1397-2701,2026-03-04
수정구,지우병원,병원,경기도 성남시 수정구 수정로 183 (태평동),031-756-8355,2026-03-04
수정구,파티마 요양병원,요양병원(일반요양병원),경기도 성남시 수정구 산성대로 231 (신흥동),031-721-1004,2026-03-04
수정구,휴엔병원,병원,"경기도 성남시 수정구 산성대로 241, 9,10,11,12층 (신흥동)",031-753-1000,2026-03-04
수정구,성남사랑의병원,정신병원,"경기도 성남시 수정구 성남대로 1270-1, 성남대로 1262, 11-12층  (태평동)",031-756-3024,2026-03-04
수정구,우리효사랑요양병원,요양병원(일반요양병원),경기도 성남시 수정구 수정로 271 (신흥동),031-735-7500,2026-03-04
수정구,태평서울병원,병원,"경기도 성남시 수정구 성남대로 1219, 지층~5층 (수진동)",031-721-7317,2026-03-04
수정구,더미즈병원,병원,"경기도 성남시 수정구 수정로 91, 더미즈병원 (태평동)",031-752-1119,2026-03-04
수정구,순천의료재단 성남정병원,종합병원,"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",031-750-6000,2026-03-04
중원구,채움한방병원,한방병원,"경기도 성남시 중원구 둔촌대로80번길 3-10, 성남 아리스타 3층 일부호 (성남동)",031-797-7511,2026-03-04
중원구,성남제일한방병원,한방병원,"경기도 성남시 중원구 성남대로 1115, 모란시티 301~308호,501~504호 (성남동)",031-758-1071,2026-03-04
중원구,성남요양병원,요양병원(일반요양병원),"경기도 성남시 중원구 광명로 299, 행림빌딩 지하1층,3~8층 (금광동)",031-731-8899,2026-03-04
중원구,라온힐요양병원,요양병원(일반요양병원),"경기도 성남시 중원구 양현로405번길 13, 중일아인스빌딩 지하3층,2~10층 (여수동)",031-709-9119,2026-03-04
중원구,바른마디병원,병원,경기도 성남시 중원구 광명로 330 (금광동),031-735-9110,2026-03-04
중원구,으뜸병원,병원,"경기도 성남시 중원구 성남대로 1133, 성남 메트로칸 3,4층 (성남동)",031-759-1700,2026-03-04
중원구,성남예치과병원,치과병원,경기도 성남시 중원구 성남대로 1141 (성남동),031-757-9999,2026-03-04
중원구,좋은이웃요양병원,요양병원(일반요양병원),경기도 성남시 중원구 도촌로8번길 34 (도촌동),031-705-5757,2026-03-04
중원구,성남중앙병원,종합병원,경기도 성남시 중원구 산성대로476번길 12 (금광동),031-743-3000,2026-03-04
중원구,의료법인메디피아 메디피움성남의원,의원,"경기도 성남시 중원구 금상로 137, 노인보건센터, 중원구보건소 1층 (상대원동)",031-1899-0050,2026-03-04
중원구,호호한의원,한의원,"경기도 성남시 중원구 산성대로 404, 1층 (금광동)",031-747-8271,2026-03-04
중원구,리연한의원,한의원,"경기도 성남시 중원구 갈마치로288번길 14, 성남 SK V1 tower A동 B135호 (상대원동)",031-8035-3800,2026-03-04
중원구,블리비의원,의원,"경기도 성남시 중원구 성남대로 1126, 메가프라자 504,505,506호 (성남동)",1833-2890,2026-03-04
중원구,턱사랑하니치과의원,치과의원,"경기도 성남시 중원구 성남대로 1142, 4층 (성남동)",031-605-2828,2026-03-04
중원구,닥터척척의원,의원,"경기도 성남시 중원구 광명로 319, 4,5층 (금광동)",031-745-6000,2026-03-04
중원구,편한가정의학과의원,의원,"경기도 성남시 중원구 광명로 338, 상원빌딩 2층 (금광동)",031-746-8878,2026-03-04
중원구,삼성바른내과의원,의원,"경기도 성남시 중원구 광명로 5, 성남동메디칼센타 101호 (성남동)",031-721-8720,2026-03-04
중원구,참좋은내과의원,의원,"경기도 성남시 중원구 산성대로372번길 18, 대촌빌딩 4층 (금광동)",031-626-7777,2026-03-04
중원구,홈닥터의원,의원,"경기도 성남시 중원구 사기막골로 148, 중앙이노테크 지3층 비308-1호 (상대원동)",031-723-0988,2026-03-04
중원구,삼성활력마디한의원,한의원,"경기도 성남시 중원구 성남대로 1144, 5층 (성남동)",031-751-7585,2026-03-04
중원구,삼성조앤여성의원,의원,"경기도 성남시 중원구 성남대로 1146, 구정빌딩 2층 (성남동)",031-754-7582,2026-03-04
중원구,정다운플란트치과의원,치과의원,"경기도 성남시 중원구 산성대로372번길 18, 대촌빌딩 5층 (금광동)",031-605-2228,2026-03-04
중원구,단대오거리정형외과의원,의원,"경기도 성남시 중원구 산성대로372번길 18, 대촌빌딩 3층 (금광동)",031-735-7585,2026-03-04
중원구,시청앞경희한의원,한의원,"경기도 성남시 중원구 성남대로997번길 25-7, GL플러스프라자 4층 (여수동)",031-756-1175,2026-03-04
중원구,연세새로이치과의원,치과의원,"경기도 성남시 중원구 산성대로372번길 11, 2층 (금광동)",031-623-2828,2026-03-04
중원구,성남선의원,의원,"경기도 성남시 중원구 광명로 318, 2, 3, 4층 (금광동)",031-609-1500,2026-03-04
중원구,라온이비인후과의원,의원,"경기도 성남시 중원구 광명로 120, 대연빌딩 3층 (성남동)",031-365-5171,2026-03-04
중원구,서울중앙의원,의원,"경기도 성남시 중원구 둔촌대로 277, 2,3,4층 (하대원동)",031-754-1222,2026-03-04
중원구,드림성모이비인후과의원,의원,"경기도 성남시 중원구 광명로 319, 3층 (금광동)",031-8039-7507,2026-03-04
중원구,고려탑신경외과의원,의원,"경기도 성남시 중원구 성남대로1139번길 6, 1,2층 일부호 (성남동)",031-758-7575,2026-03-04
중원구,상일치과의원,치과의원,"경기도 성남시 중원구 광명로 322, 2층 (금광동)",031-698-2375,2026-03-04
중원구,장새로내과의원,의원,"경기도 성남시 중원구 금빛로 43, 401~405호 (금광동)",031-734-7760,2026-03-04
중원구,더정성치과의원,치과의원,"경기도 성남시 중원구 광명로 331, 5층 (금광동)",031-749-7528,2026-03-04
중원구,씨엠씨성남한의원,한의원,"경기도 성남시 중원구 성남대로 1115, 모란시티 206,207호 (성남동)",031-8039-7791,2026-03-04
중원구,서울바로본치과의원,치과의원,"경기도 성남시 중원구 광명로 319, 2층 (금광동)",031-734-2879,2026-03-04
중원구,서울아산내과의원,의원,"경기도 성남시 중원구 광명로 176, 202,203,204호 (중앙동, 신흥역하늘채랜더스원아파트)",031-626-6500,2026-03-04
중원구,이숲치과의원,치과의원,"경기도 성남시 중원구 금빛로 43, 5층 501,502,505호 (금광동)",031-736-2879,2026-03-04
중원구,삼성귀요미소아청소년과의원,의원,"경기도 성남시 중원구 금빛로 43, 3층 301호 (금광동)",031-8039-6789,2026-03-04
중원구,마디신경외과의원,의원,"경기도 성남시 중원구 둔촌대로 84, 모란프라임타워 3층 301호 (성남동)",031-721-1236,2026-03-04
중원구,유엘치과의원,치과의원,"경기도 성남시 중원구 금상로96번길 2, 2층 (상대원동)",031-748-2275,2026-03-04
중원구,위소아청소년과의원,의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 201,202호 (여수동)",031-753-7585,2026-03-04
중원구,미르365한의원,한의원,"경기도 성남시 중원구 산성대로372번길 10, 단대시장 3층 6호 (금광동)",031-747-8875,2026-03-04
중원구,모란마취통증의학과의원,의원,"경기도 성남시 중원구 광명로 2, 3층 (성남동)",031-755-2013,2026-03-04
중원구,삼성활력마디의원,의원,"경기도 성남시 중원구 성남대로 1144, 5층 (성남동)",031-751-7585,2026-03-04
중원구,다남한의원,한의원,"경기도 성남시 중원구 금상로96번길 2, 3층 (상대원동)",031-734-1075,2026-03-04
중원구,모란상아치과의원,치과의원,"경기도 성남시 중원구 산성대로 106, 원진빌딩 4층 (성남동)",031-778-7834,2026-03-04
중원구,서울금빛치과의원,치과의원,"경기도 성남시 중원구 광명로 320, 2층 (금광동)",031-606-2828,2026-03-04
중원구,서울단오치과의원,치과의원,"경기도 성남시 중원구 산성대로 380, 7층 (금광동)",031-742-2080,2026-03-04
중원구,고든정형외과의원,의원,"경기도 성남시 중원구 광명로 333, 서광빌딩 2층3층 일부호 (금광동)",031-732-0880,2026-03-04
중원구,튼튼마디의원,의원,"경기도 성남시 중원구 산성대로 352, 4층 (중앙동)",031-731-5800,2026-03-04
중원구,모란서울통정형외과의원,의원,"경기도 성남시 중원구 성남대로 1129, 하나빌딩 4층5층 일부호 (성남동)",031-607-5000,2026-03-04
중원구,수서울내과의원,의원,"경기도 성남시 중원구 산성대로 380, 5층 (금광동)",031-748-1112,2026-03-04
중원구,미래마디튼튼의원,의원,"경기도 성남시 중원구 성남대로 1142, 3층 (성남동)",031-758-8275,2026-03-04
중원구,위드유정신건강의학과의원,의원,"경기도 성남시 중원구 성남대로 1132, 모란역 센트럴스퀘어 401~403호 (성남동)",031-778-6698,2026-03-04
중원구,바른플란트치과교정과치과의원,치과의원,"경기도 성남시 중원구 성남대로 1132, 모란역 센트럴스퀘어 305~309호 (성남동)",031-722-2811,2026-03-04
중원구,바로나은내과의원,의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 501~506호 (여수동)",031-751-7544,2026-03-04
중원구,베스트치과의원,치과의원,"경기도 성남시 중원구 성남대로 1146, 구정빌딩 4층 401호 (성남동)",031-604-2879,2026-03-04
중원구,에스씨(SC)탑 치과의원,치과의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 203,204호 (여수동)",031-755-2979,2026-03-04
중원구,라미치과의원,치과의원,"경기도 성남시 중원구 둔촌대로 84, 5층 501,502호 (성남동)",031-607-9800,2026-03-04
중원구,아이엠정형외과의원,의원,"경기도 성남시 중원구 희망로 380, 1,2,3,4,5층 (상대원동)",031-697-8220,2026-03-04
중원구,모란비뇨의학과의원,의원,"경기도 성남시 중원구 성남대로1148번길 2, 소평빌딩 4층 일부호 (성남동)",031-623-5233,2026-03-04
중원구,미래가정의학과의원,의원,"경기도 성남시 중원구 성남대로1148번길 2, 소평빌딩 4층 (성남동)",031-625-1157,2026-03-04
중원구,두리이비인후과의원,의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 6층 603호 일부604~606호 (여수동)",031-752-1222,2026-03-04
중원구,기백한의원,한의원,"경기도 성남시 중원구 광명로 325, 대성빌딩 2층 (금광동)",031-8039-7550,2026-03-04
중원구,365효 한의원,한의원,"경기도 성남시 중원구 광명로 4, 4층 402,403호 (성남동, 아트팰리스)",031-722-1070,2026-03-04
중원구,모란튼튼척의원,의원,"경기도 성남시 중원구 성남대로 1132, 모란역 센트럴스퀘어 404~409호,413호 (성남동)",031-524-9954,2026-03-04
중원구,아산유재활의학과의원 유한의원,한의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 701~706호 (여수동)",031-722-0815,2026-03-04
중원구,아산유재활의학과의원 유한의원,의원,"경기도 성남시 중원구 양현로 409, 어반스퀘어 7층 701~706호 (여수동)",031-722-0815,2026-03-04
중원구,성남리즈온의원,의원,"경기도 성남시 중원구 둔촌대로 84, 404,405,406호 (성남동)",031-606-6770,2026-03-04
중원구,나의특별한치과의원,치과의원,"경기도 성남시 중원구 성남대로 1133, 성남 메트로칸, 2층 2-13호,2-14호,2-15호,2-16호 (성남동)",031-603-2828,2026-03-04
중원구,스마일플란트치과의원,치과의원,"경기도 성남시 중원구 사기막골로 99, B102~103호 (상대원동)",031-789-6828,2026-03-04
중원구,강남재활의학과의원,의원,"경기도 성남시 중원구 광명로 299, 행림빌딩 2층 (금광동)",031-733-7588,2026-03-04
중원구,이광우신경과의원,의원,"경기도 성남시 중원구 둔촌대로 84, 708,709호 (성남동)",031-755-3215,2026-03-04
중원구,현정신건강의학과의원,의원,"경기도 성남시 중원구 둔촌대로 84, 601호 (성남동)",031-758-0575,2026-03-04
중원구,연세정비뇨의학과의원,의원,"경기도 성남시 중원구 둔촌대로 84, 7층 705, 706, 707, 715호 (성남동)",031-759-8255,2026-03-04
중원구,희망등대치과의원,치과의원,"경기도 성남시 중원구 둔촌대로 84, 201호 (성남동)",031-755-1993,2026-03-04
중원구,서울정성치과의원,치과의원,"경기도 성남시 중원구 성남대로1148번길 2, 소평빌딩 (성남동)",031-751-7522,2026-03-04
중원구,성남모란한의원,한의원,"경기도 성남시 중원구 둔촌대로 84, 401호 (성남동)",031-757-5722,2026-03-04
중원구,경희한의원,한의원,"경기도 성남시 중원구 광명로 5, 성남동메디칼센타 301호 (성남동)",031-754-0045,2026-03-04
중원구,예온한의원,한의원,"경기도 성남시 중원구 도촌남로 27, 동강프라자 204호 (도촌동)",031-758-5051,2026-03-04
중원구,웃자치과교정과치과의원,치과의원,"경기도 성남시 중원구 성남대로 1156, 3,4,5층 (성남동)",031-606-0282,2026-03-04
중원구,온세치과의원,치과의원,"경기도 성남시 중원구 광명로 59, 2층 (성남동)",031-757-2875,2026-03-04
중원구,365바른경희한의원,한의원,"경기도 성남시 중원구 성남대로 1139, 한일타워 201호 (성남동)",031-754-0365,2026-03-04
중원구,정은치과의원,치과의원,"경기도 성남시 중원구 광명로 2, 2층 (성남동)",031-609-2872,2026-03-04
중원구,365힘찬한의원,한의원,"경기도 성남시 중원구 산성대로 354-1, 3,4층 (중앙동)",031-743-2900,2026-03-04
중원구,마마라정신건강의학과의원,의원,"경기도 성남시 중원구 성남대로 1144, 3층 (성남동)",031-602-1275,2026-03-04
중원구,한양솔가정의학과의원,의원,"경기도 성남시 중원구 금상로 82, 2층 (상대원동)",031-732-8834,2026-03-04
중원구,도촌행복정형외과의원,의원,"경기도 성남시 중원구 도촌로 8, 2층 201~203호 (도촌동)",031-755-6500,2026-03-04
중원구,100세 플란트치과의원,치과의원,"경기도 성남시 중원구 은이로5번길 1, 건영빌딩 7층 (은행동)",031-608-7575,2026-03-04
중원구,세림피부과의원,의원,"경기도 성남시 중원구 산성대로 360, 7층 (중앙동)",031-743-7009,2026-03-04
중원구,경희팔팔한의원,한의원,"경기도 성남시 중원구 산성대로 492-1, 3층 (은행동)",031-745-7588,2026-03-04
중원구,경희365한의원,한의원,경기도 성남시 중원구 희망로 338 (상대원동),031-736-5365,2026-03-04
중원구,유경정신건강의학과의원,의원,"경기도 성남시 중원구 성남대로 1146, 4층 (성남동, 구정빌딩)",031-759-5777,2026-03-04
중원구,바로힐마취통증의학과의원,의원,"경기도 성남시 중원구 금상로 18 (상대원동, 메디원 빌딩)",031-747-8575,2026-03-04
중원구,닥터엘의원,의원,"경기도 성남시 중원구 희망로 336, 금진빌딩 (상대원동)",031-698-2050,2026-03-04
중원구,서울연합의원 한의원,한의원,"경기도 성남시 중원구 광명로 355, 2층 (금광동)",031-741-7778,2026-03-04
중원구,신 사랑치과의원,치과의원,"경기도 성남시 중원구 금빛로 101, 2층 (금광동)",031-733-0882,2026-03-04
중원구,서울김안과의원,의원,"경기도 성남시 중원구 은이로5번길 1, 건영빌딩 5층 (은행동)",031-732-8626,2026-03-04
중원구,서울바른내과의원,의원,"경기도 성남시 중원구 희망로 336 (상대원동, 금진빌딩)",031-736-1700,2026-03-04
중원구,도촌베스트치과의원,치과의원,"경기도 성남시 중원구 도촌남로 27, 동강프라자 404호 (도촌동)",031-754-7575,2026-03-04
중원구,신통한의원,한의원,"경기도 성남시 중원구 산성대로 464, 1층 (금광동)",031-749-8275,2026-03-04
중원구,자연한의원,한의원,"경기도 성남시 중원구 산성대로 354 (중앙동, 태성빌딩)",031-744-1075,2026-03-04
중원구,고려척척마취통증의학과의원,의원,"경기도 성남시 중원구 성남대로 1146, 5층 (성남동, 구정빌딩)",031-759-7582,2026-03-04
중원구,다시젊어지는 치과의원,치과의원,"경기도 성남시 중원구 성남대로 1127, 한성빌딩 2층,3층 일부호 (성남동)",031-759-0088,2026-03-04
중원구,이든소아청소년과의원,의원,"경기도 성남시 중원구 도촌남로 33, 202호.203-1호 (도촌동, 세일프라자)",031-754-7557,2026-03-04
중원구,웰치과의원,치과의원,"경기도 성남시 중원구 광명로 333, 서광빌딩 4층 (금광동)",,2026-03-04
중원구,예안한의원,한의원,"경기도 성남시 중원구 양현로405번길 5, 213호 (여수동, 신야탑푸르지오시티 1)",031-757-1800,2026-03-04
중원구,성남경희한의원,한의원,"경기도 성남시 중원구 광명로 315, 1층 (금광동)",031-731-1075,2026-03-04
중원구,센트럴치과의원,치과의원,"경기도 성남시 중원구 여수울로15번길 4-2, 4층 (여수동)",031-754-3331,2026-03-04
중원구,정원한의원,한의원,"경기도 성남시 중원구 양현로 469, 401호 (여수동)",031-755-8875,2026-03-04
중원구,허리편한신경외과의원,의원,"경기도 성남시 중원구 은이로5번길 1, 3층.4층 (은행동)",031-731-8733,2026-03-04
중원구,열린이비인후과의원,의원,"경기도 성남시 중원구 양현로 469, 402호 (여수동)",031-754-7979,2026-03-04
중원구,바른준한의원,한의원,"경기도 성남시 중원구 광명로 119, 금성빌딩 2층 (성남동)",031-722-2161,2026-03-04
중원구,연세봄치과의원,치과의원,"경기도 성남시 중원구 산성대로 450, 4층 (금광동)",031-731-2788,2026-03-04
중원구,이화미의원,의원,"경기도 성남시 중원구 산성대로372번길 14, 1층 (금광동)",031-735-0100,2026-03-04
중원구,크리스마스치과의원,치과의원,"경기도 성남시 중원구 산성대로 530, 6층 (은행동)",031-742-2275,2026-03-04
중원구,삼성으뜸정형외과의원,의원,"경기도 성남시 중원구 둔촌대로 272, 지하1층.2~5층 (하대원동)",031-698-2175,2026-03-04
중원구,지인의원,의원,"경기도 성남시 중원구 광명로 5, 성남동메디칼센타 9층 903호 (성남동)",031-723-8555,2026-03-04
중원구,미래성모이비인후과의원,의원,"경기도 성남시 중원구 산성대로 526, 가동 2층 1호 (은행동)",031-749-8575,2026-03-04
중원구,중원한의원,한의원,"경기도 성남시 중원구 둔촌대로 164, 2층 (하대원동)",031-751-1600,2026-03-04
중원구,키즈엠소아청소년과의원,의원,"경기도 성남시 중원구 양현로 469, 3층 302호 (여수동)",031-753-7582,2026-03-04
중원구,바른손치과의원,치과의원,"경기도 성남시 중원구 양현로405번길 5, 2층 201호 (여수동, 신야탑푸르지오시티)",031-602-2275,2026-03-04
중원구,연세아이맘소아청소년과의원,의원,"경기도 성남시 중원구 은이로5번길 1, 건영빌딩 지하1층,2층 (은행동)",031-731-0088,2026-03-04
중원구,시민의원,의원,"경기도 성남시 중원구 둔촌대로 431, 1,2,3층 (상대원동)",031-735-8864,2026-03-04
